"","feature","frequency","rank","docfreq"
"267","around",129,267,129
"268","tell",128,268,128
"269","site",128,269,128
"270","bit",128,270,128
"271","intern",128,271,128
"272","video",127,272,127
"273","easier",126,273,126
"274","high",126,274,126
"275","minut",125,275,125
"276","turn",125,276,125
"277","fantast",124,277,124
"278","space",123,278,123
"279","slow",123,279,123
"280","frustrat",122,280,122
"281","tune",122,281,122
"282","mobil",122,282,122
"283","hour",122,283,122
"284","click",120,284,120
"285","current",118,285,118
"286","call",117,286,117
"287","els",116,287,116
"288","pick",115,288,115
"289","big",115,289,115
"290","deal",115,290,115
"291","lyric",115,291,115
"292","annoy",114,292,114
"293","control",114,293,114
"294","batteri",114,294,114
"295","ask",113,295,113
"296","softwar",113,296,113
"297","etc",113,297,113
"298","useless",113,298,113
"299","person",112,299,112
"300","entir",112,300,112
"301","clear",112,301,112
"302","expect",112,302,112
"303","point",111,303,111
"304","idea",111,304,111
"305","second",110,305,110
"306","appl",110,306,110
"307","conveni",110,307,110
"308","fast",110,308,110
"309","tv",109,309,109
"310","done",109,310,109
"311","next",108,311,108
"312","often",108,312,108
"313","either",107,313,107
"314","hit",107,314,107
"315","read",107,315,107
"316","feel",107,316,107
"317","provid",106,317,106
"318","type",106,318,106
"319","continu",106,319,106
"320","cost",106,320,106
"321","content",105,321,105
"322","may",105,322,105
"323","wait",105,323,105
"324","otherwis",105,324,105
"325","upgrad",105,325,105
"326","movi",104,326,104
"327","overal",104,327,104
"328","window",104,328,104
"329","said",103,329,103
"330","easili",102,330,102
"331","kind",102,331,102
"332","switch",102,332,102
"333","confus",101,333,101
"334","echo",101,334,101
"335","huge",101,335,101
"336","unless",101,336,101
"337","larg",101,337,101
"338","happen",101,338,101
"339","paid",100,339,100
