,word,n,avg_rating,avg_stdev,modifier
201,neat,18,4.833333333,0.383482494,1
202,perk,18,4.777777778,0.427792632,1
203,bomb,17,4.941176471,0.242535625,1
204,da,17,4.941176471,0.242535625,1
205,dancing,17,4.882352941,0.48507125,1
206,familiar,17,4.470588235,0.874474632,1
207,genius,17,4.941176471,0.242535625,1
208,nope,17,1.352941176,0.861769725,-1
209,parties,17,4.941176471,0.242535625,1
210,wasted,17,1.294117647,0.587867532,-1
211,win,17,4.764705882,0.664211164,1
212,worry,17,4.764705882,0.9701425,1
213,yup,17,4.941176471,0.242535625,1
214,amazed,16,4.5625,0.62915287,1
215,beatles,16,4.1875,0.981070844,0
216,eclectic,16,4.8125,0.75,1
217,entertaining,16,4.875,0.341565026,1
218,everybody,16,4.875,0.5,1
219,kitchen,16,4.8125,0.543905629,1
220,minor,16,4.25,0.683130051,0
221,occasion,16,4.625,0.619139187,1
222,personalize,16,4.75,0.577350269,1
223,suit,16,4.75,0.683130051,1
224,tooth,16,4.8125,0.543905629,1
225,addicted,15,4.933333333,0.25819889,1
226,anybody,15,4.8,0.560611911,1
227,contact,15,1.6,0.985610761,-1
228,errors,15,1.533333333,0.833809388,-1
229,fave,15,4.733333333,0.59361684,1
230,hog,15,1.466666667,0.743223353,-1
232,introduces,15,4.866666667,0.351865775,1
233,k,15,4.6,0.736788398,1
234,sell,15,1.2,0.774596669,-1
235,tailored,15,4.666666667,0.6172134,1
236,unusable,15,1.4,0.632455532,-1
237,wireless,15,4.4,0.828078671,0
238,60;3,14,4.928571429,0.267261242,1
239,alright,14,3.357142857,0.841897386,0
240,availability,14,4.714285714,0.468807231,1
241,average,14,2.785714286,0.892582375,-1
243,catch,14,4.285714286,0.913873533,0
244,eh,14,3.142857143,0.949262293,0
245,elvis,14,4.214285714,0.974961256,0
246,grandson,14,4.928571429,0.267261242,1
247,jams,14,4.785714286,0.801783726,1
250,rare,14,4.642857143,0.633323694,1
251,trip,14,4.857142857,0.36313652,1
252,walking,14,4.785714286,0.425815314,1
253,workouts,14,4.5,0.854850414,1
254,bigger,13,3.615384615,0.650443636,0
256,boy,13,4.384615385,0.960768923,0
259,exploring,13,4.461538462,0.967417922,1
260,finds,13,4.692307692,0.630425172,1
261,improvements,13,3.923076923,0.862316499,0
262,it.i,13,4.461538462,0.660225292,1
263,pros,13,4.230769231,0.926808696,0
265,station's,13,4.846153846,0.375533808,1
266,weather,13,4.615384615,0.506369684,1
