"","token","Product","frequency","avg_rating","avg_stdev","tf","idf","tf_idf"
"1","love","Amazon",8170,4.82447980416157,0.567438146054888,0.000558483091565525,-7.62192982673416,-0.00425671893332998
"2","selection","Amazon",932,4.3980686695279,0.996942976931813,6.37094542642679e-05,-5.4510384535657,-0.00034728268505021
"3","happy","Amazon",560,4.61071428571429,0.948716970228097,3.8280358785397e-05,-4.9416424226093,-0.000189167844926623
"4","greatly","Amazon",10,4.7,0.674948557710553,6.83577835453518e-07,-0.916290731874155,-6.26356035140655e-07
"5","thumb","Amazon",154,4.61688311688312,0.978180597009923,1.05270986659842e-05,-3.65065824129374,-3.84308395018875e-05
"6","preference","Amazon",44,4.56818181818182,0.899553565573587,3.00774247599548e-06,-2.39789527279837,-7.21225146498443e-06
"7","station","Amazon",2452,4.51468189233279,0.997440922189504,0.000167613285253203,-6.41836493593621,-0.00107580323286623
"8","genre","Amazon",415,4.58313253012048,0.858154867771156,2.8368480171321e-05,-4.64198415911081,-0.000131686035573321
"9","listen","Amazon",4298,4.56956724057701,0.957279156050157,0.000293801753677922,-6.97961071608256,-0.00205062186837428
"10","nice","Amazon",678,4.42035398230088,0.880780433982633,4.63465772437485e-05,-5.1328529268205,-0.000237890164653687
"11","easy","Amazon",1286,4.68662519440124,0.72246333546042,8.79081096393225e-05,-5.77299754367767,-0.000507493301017156
"12","availability","Amazon",14,4.57142857142857,0.85163062725264,9.57008969634926e-07,-1.25276296849537,-1.19890539767654e-06
"13","choice","Amazon",505,4.61386138613861,0.865685078623423,3.45206806904027e-05,-4.83826406815547,-0.000167020168992644
"14","musician","Amazon",28,4.64285714285714,0.911420775870196,1.91401793926985e-06,-1.94591014905531,-3.72450693349914e-06
"15","perfect","Amazon",355,4.7887323943662,0.56035433094385,2.42670131585999e-05,-4.48582342835553,-0.000108857536163059
"16","awesome","Amazon",1892,4.86575052854123,0.489930673308034,0.000129332926467806,-6.15909538849193,-0.000796573830988028
"17","pleasure","Amazon",40,4.825,0.594310632754563,2.73431134181407e-06,-2.30258509299405,-6.29598453526563e-06
"18","additional","Amazon",17,3.64705882352941,0.996316746232607,1.16208232027098e-06,-1.44691898293633,-1.68143896893477e-06
"19","s5","Amazon",7,1.85714285714286,0.690065559342354,4.78504484817463e-07,-0.559615787935423,-2.67778664301758e-07
"20","adore","Amazon",9,4.66666666666667,0.707106781186547,6.15220051908167e-07,-0.810930216216329,-4.98900529714511e-07
"21","fantastic","Amazon",179,4.88268156424581,0.511311998516319,1.2236043254618e-05,-3.80109144472086,-4.65103193323628e-05
"22","live","Amazon",247,4.54251012145749,0.986295614677105,1.68843725357019e-05,-4.12309397550809,-6.96158546821867e-05
"23","radio","Amazon",1961,4.57368689444161,0.956076763353809,0.000134049613532435,-6.19491546507646,-0.000830426023959603
"24","ear","Amazon",41,4.65853658536585,0.728345937640932,2.80266912535943e-06,-2.32727770558442,-6.52258937157877e-06
"25","incredible","Amazon",28,4.82142857142857,0.611832186419302,1.91401793926985e-06,-1.94591014905531,-3.72450693349914e-06
"26","rock","Amazon",244,4.59426229508197,0.927033338977948,1.66792991850658e-05,-4.11087386417331,-6.85664950926144e-05
"27","mix","Amazon",154,4.47402597402597,0.978180597009924,1.05270986659842e-05,-3.65065824129374,-3.84308395018875e-05
"28","cool","Amazon",389,4.62724935732648,0.797791986447625,2.65911777991419e-05,-4.57728498249856,-0.000121715398806961
"29","unusable","Amazon",15,1.2,0.414039335605413,1.02536675318028e-06,-1.32175583998232,-1.35528449413974e-06
"30","wipe","Amazon",8,1.25,0.707106781186548,5.46862268362815e-07,-0.693147180559945,-3.79056039470301e-07
"31","seamlessly","Amazon",10,4.8,0.421637021355784,6.83577835453518e-07,-0.916290731874155,-6.26356035140655e-07
"32","alright","Amazon",23,3.43478260869565,0.945135245565981,1.57222902154309e-06,-1.74919985480926,-2.75014277621008e-06
"33","sooo","Amazon",11,4.90909090909091,0.301511344577764,7.5193561899887e-07,-1.01160091167848,-7.60658757702779e-07
"34","home","Amazon",231,4.58441558441558,0.995869504511985,1.57906479989763e-05,-4.0561233494019,-6.40488160508341e-05
"35","hook","Amazon",37,4.7027027027027,0.811886173770165,2.52923799117802e-06,-2.22462355152433,-5.62660240258471e-06
"36","speaker","Amazon",60,4.71666666666667,0.64022418389945,4.10146701272111e-06,-2.70805020110221,-1.11069785686135e-05
"37","cook","Amazon",20,4.85,0.366347548532523,1.36715567090704e-06,-1.6094379124341,-2.20035216895706e-06
"38","surprise","Amazon",54,4.62962962962963,0.734494982355578,3.691320311449e-06,-2.60268968544438,-9.60736130027966e-06
"39","glitchy","Amazon",11,1.81818181818182,0.981649817214043,7.5193561899887e-07,-1.01160091167848,-7.60658757702779e-07
"40","tune","Amazon",196,4.48979591836735,0.98963757115404,1.3398125574889e-05,-3.89182029811063,-5.2143097068988e-05
"41","super","Amazon",97,4.70103092783505,0.914751200846532,6.63070500389913e-06,-3.18841661738349,-2.11414500193999e-05
"42","endless","Amazon",32,4.6875,0.820601667542903,2.18744907345126e-06,-2.07944154167984,-4.54867247364361e-06
"43","style","Amazon",77,4.66233766233766,0.718375169729534,5.26354933299209e-06,-2.95751106073379,-1.55670053710421e-05
"44","organize","Amazon",36,4.5,0.87831006565368,2.46088020763267e-06,-2.19722457733622,-5.40710647409075e-06
"45","type","Amazon",359,4.55710306406685,0.975366121184099,2.45404442927813e-05,-4.49702802736839,-0.00011035906578871
"46","suit","Amazon",20,4.6,0.820782681668123,1.36715567090704e-06,-1.6094379124341,-2.20035216895706e-06
